time,so,thetao,chl,mask,zooc,PEA,mlotst
1993-01-01,30.80389472513877,0.9649469254035926,5.3788008052413305,1.0,,347.3671042420435,29.247432909610772
1993-02-01,30.95637503277112,0.12977800559988434,4.5332500075597055,1.0,,321.6769277468594,28.985045307388464
1993-03-01,31.031424754309278,0.18343805231440638,5.3654731541506075,1.0,,310.1976705794001,26.010406734553428
1993-04-01,30.784192409897116,1.1459332070508848,7.394164625115038,1.0,,315.7095704851388,15.467493127331888
1993-05-01,30.15760166313008,4.3349013107418415,6.110499649553761,1.0,,365.05759598823806,11.293891694126168
1993-06-01,29.812747661519495,8.255664914067323,2.916422052627487,1.0,,422.5266207822131,10.826741419990281
1993-07-01,29.55413252151942,12.04639847981181,1.8004846246501827,1.0,,493.69617523355595,10.518481206795197
1993-08-01,29.17815977782361,15.660920148682315,1.5800034570845831,1.0,,587.3347789418475,10.576927615969323
1993-09-01,29.450585211312216,13.984199076745329,2.2880919035375733,1.0,,604.9228811882084,11.33574146489261
1993-10-01,29.809810346520468,10.090272827280069,3.7671496851045876,1.0,,559.4361087284628,16.46099829105775
1993-11-01,29.98068079472576,6.086011778599151,5.00003554984729,1.0,,495.56627103038716,20.520908190330363
1993-12-01,30.261485383828152,3.5653249603452823,5.6150693162204055,1.0,,441.35480841758994,22.73591182342803
1994-01-01,30.47655332313891,0.8545750268779643,6.197667234776709,1.0,,402.0580828982849,27.39553450358662
1994-02-01,30.637781838784967,-0.05481628488206804,5.810626992465928,1.0,,374.5742649549698,26.611699464954615
1994-03-01,30.459775626930888,-0.34213269772608373,5.274690845954015,1.0,,377.3202492463523,17.744397537779033
1994-04-01,30.069688341813386,0.7679570623036654,6.337698976719998,1.0,,403.74859633177874,13.317191204442247
1994-05-01,29.81622633508191,3.795349039145038,5.790813140579477,1.0,,423.9981031293981,11.750152924552795
1994-06-01,29.333955787042655,8.37420644116451,3.6741106093295612,1.0,,481.7032741651345,10.57370519813132
1994-07-01,29.17984979938852,14.165108882359098,2.364968224106592,1.0,,567.8769941947212,10.430906314362815
1994-08-01,29.06194113468778,16.47065422026514,1.9099303843270505,1.0,,642.335387808732,10.530001998911898
1994-09-01,29.41152480289309,14.156358492149002,1.900804975467869,1.0,,621.0601592314334,11.795014434456414
1994-10-01,29.807608598349752,10.292263716861576,2.9181733584298994,1.0,,555.6615439346596,14.497472090684933
1994-11-01,30.27325678833935,6.373352966914101,6.314602332945535,1.0,,473.7092633300456,21.027043704183615
1994-12-01,30.504187163780113,2.9499147447603615,7.96243145771089,1.0,,412.9435696978007,24.430521128083857
1995-01-01,30.634617283033293,1.071453522889142,8.198782873505754,1.0,,377.6704061389978,24.160993591740354
1995-02-01,30.80421306033559,0.4718728624115615,8.7117210951228,1.0,,353.3699737411488,28.491589168129998
1995-03-01,30.823630494511974,0.43594410563515834,7.767625035772265,1.0,,330.9054188424443,23.861157913155356
1995-04-01,30.525172004568073,1.1384455866482124,8.36820524727116,1.0,,331.9432426806958,17.732581525846054
1995-05-01,30.136164805305015,4.020843843286272,6.519930038477075,1.0,,356.09097080550913,12.744837376375376
1995-06-01,29.548699529528044,8.083769424575374,3.6285078319460102,1.0,,426.24548710887893,10.545693015130821
1995-07-01,29.360496816167842,13.572333618806429,2.2850743099993887,1.0,,509.0963005044856,10.487183384655097
1995-08-01,29.42692900431905,16.104585366048347,1.9513047381642368,1.0,,575.288709564515,10.84411736729887
